"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,102,"HKG","Hong Kong",1,"Central and Western","District","District",NA,NA
2,102,"HKG","Hong Kong",2,"Eastern","District","District",NA,NA
3,102,"HKG","Hong Kong",3,"Islands","District","District",NA,NA
4,102,"HKG","Hong Kong",4,"Kowloon City","District","District",NA,NA
5,102,"HKG","Hong Kong",5,"Kwai Tsing","District","District",NA,NA
6,102,"HKG","Hong Kong",6,"Kwun Tong","District","District",NA,NA
7,102,"HKG","Hong Kong",7,"North","District","District",NA,NA
8,102,"HKG","Hong Kong",8,"Sai Kung","District","District",NA,NA
9,102,"HKG","Hong Kong",9,"Sha Tin","District","District",NA,NA
10,102,"HKG","Hong Kong",10,"Sham Shui Po","District","District",NA,NA
11,102,"HKG","Hong Kong",11,"Southern","District","District",NA,NA
12,102,"HKG","Hong Kong",12,"Tai Po","District","District",NA,NA
13,102,"HKG","Hong Kong",13,"Tsuen Wan","District","District",NA,NA
14,102,"HKG","Hong Kong",14,"Tuen Mun","District","District",NA,NA
15,102,"HKG","Hong Kong",15,"Wan Chai","District","District",NA,NA
16,102,"HKG","Hong Kong",16,"Wong Tai Sin","District","District",NA,NA
17,102,"HKG","Hong Kong",17,"Yau Tsim Mong","District","District",NA,NA
18,102,"HKG","Hong Kong",18,"Yuen Long","District","District",NA,NA
